Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,domestic %,foregin %
2798,Joyeux Noel,17709155,1054361,16654794,2005.csv,2005,0.059537623336630124,0.9404623766633698
2799,You Are My Sunshine,17650142,0,17650142,2005.csv,2005,0.0,1.0
2800,Kaiji: Final Game,17645779,0,17645779,2020.csv,2020,0.0,1.0
2801,Palais royal!,17612135,0,17612135,2005.csv,2005,0.0,1.0
2802,Hitman: Agent Jun,17601351,0,17601351,2020.csv,2020,0.0,1.0
2803,Deliver Us from Eva,17573594,17573594,0,2003.csv,2003,1.0,0.0
2804,Roll Bounce,17500866,17380866,120000,2005.csv,2005,0.9931431964566781,0.006856803543321799
2805,Rebound,17492014,16809014,683000,2005.csv,2005,0.9609536100302687,0.03904638996973133
2806,Bo Gia,17480489,350000,17130489,2021.csv,2021,0.020022323174140037,0.97997767682586
2807,A Guy Thing,17432163,15545431,1886732,2003.csv,2003,0.8917671891893163,0.10823281081068367
2808,The Dry,17424378,364237,17060141,2021.csv,2021,0.020903873871423128,0.9790961261285769
2809,Frailty,17423030,13110448,4312582,2002.csv,2002,0.7524780706914929,0.2475219293085072
2810,School of Magical Animals,17389957,0,17389957,2021.csv,2021,0.0,1.0
2811,Stormy Night,17379776,0,17379776,2005.csv,2005,0.0,1.0
2812,Digimon Adventure: Last Evolution Kizuna,17361009,0,17361009,2020.csv,2020,0.0,1.0
2813,The Matador,17347231,12594698,4752533,2005.csv,2005,0.7260350657692862,0.27396493423071383
2814,Would I Lie to You? 2,17317084,0,17317084,2003.csv,2003,0.0,1.0
2815,The Importance of Being Earnest,17290970,8384929,8906041,2002.csv,2002,0.4849310940913089,0.515068905908691
2816,Fall,17253564,7240521,10013043,2022.csv,2022,0.4196536437341294,0.5803463562658706
2817,Gintama: The Final,17252960,0,17252960,2021.csv,2021,0.0,1.0
2818,Railway Heroes,17223704,0,17223704,2021.csv,2021,0.0,1.0
2819,Die Schule der magischen Tiere 2,17144704,0,17144704,2022.csv,2022,0.0,1.0
2820,Kinsey,17050017,10254979,6795038,2004.csv,2004,0.6014644442876509,0.39853555571234917
2821,Moana 2020 Re-release,17017264,0,17017264,2020.csv,2020,0.0,1.0
2822,Kung Pow: Enter the Fist,16994625,16037962,956663,2002.csv,2002,0.9437079076472709,0.056292092352729174
2823,Dead Weight,16987957,0,16987957,2002.csv,2002,0.0,1.0
2824,Bye Bye Morons,16955924,0,16955924,2020.csv,2020,0.0,1.0
2825,Jason X,16951798,13121555,3830243,2001.csv,2001,0.7740509295828089,0.22594907041719114
2826,Catch That Kid,16951702,16703799,247903,2004.csv,2004,0.9853759227244556,0.014624077275544368
2827,Sugar & Spice,16908947,13305101,3603846,2001.csv,2001,0.7868675086627216,0.21313249133727843
2828,Life or Something Like It,16872671,14448589,2424082,2002.csv,2002,0.8563308678276249,0.1436691321723751
2829,Aegis,16869261,0,16869261,2005.csv,2005,0.0,1.0
2830,The Good Girl,16856124,14018296,2837828,2002.csv,2002,0.8316440956414417,0.16835590435855835
2831,Femme Fatale,16838910,6630252,10208658,2002.csv,2002,0.3937459134825235,0.6062540865174765
2832,House of 1000 Corpses,16829545,12634962,4194583,2003.csv,2003,0.7507607603176437,0.24923923968235623
2833,Paparazzi,16796512,15714234,1082278,2004.csv,2004,0.9355653126077604,0.06443468739223954
2834,House of Sand and Fog,16763804,13040288,3723516,2003.csv,2003,0.7778835877584825,0.22211641224151749
2835,Baaghi 3,16726510,721439,16005071,2020.csv,2020,0.043131472136147944,0.956868527863852
2836,Wunderschön,16719291,0,16719291,2022.csv,2022,0.0,1.0
2837,The Quintessential Quintuplets Movie,16716199,0,16716199,2022.csv,2022,0.0,1.0
2838,Dogville,16680836,1535286,15145550,2003.csv,2003,0.0920389121984054,0.9079610878015946
2839,CyberWorld,16653900,11253900,5400000,2000.csv,2000,0.6757516257453209,0.32424837425467906
2840,Digimon: The Movie,16643191,9631153,7012038,2000.csv,2000,0.5786842799556888,0.4213157200443112
2841,The Dish,16575074,2552992,14022082,2000.csv,2000,0.1540259790092038,0.8459740209907962
2842,Your Turn to Kill,16511822,0,16511822,2021.csv,2021,0.0,1.0
2843,November,16498481,0,16498481,2022.csv,2022,0.0,1.0
2844,Cry Macho,16481544,10310734,6170810,2021.csv,2021,0.6255927235943428,0.37440727640565713
2845,They,16446271,12840842,3605429,2002.csv,2002,0.7807752894257914,0.2192247105742086
2846,Reminiscence,16430773,3900193,12530580,2021.csv,2021,0.2373712423633386,0.7626287576366614
2847,The Powerpuff Girls Movie,16426471,11412414,5014057,2002.csv,2002,0.6947575045181646,0.3052424954818354
2848,The Magdalene Sisters,16373112,306989,16066123,2002.csv,2002,0.018749581631152343,0.9812504183688476
2849,One Missed Call,16367880,0,16367880,2004.csv,2004,0.0,1.0
2850,"Nin x Nin: Ninja Hattori-kun, the Movie",16351134,0,16351134,2004.csv,2004,0.0,1.0
2851,Italian for Beginners,16349568,4544753,11804815,2000.csv,2000,0.27797388897370257,0.7220261110262974
2852,The Emperor's Club,16318449,14118751,2199698,2002.csv,2002,0.865201772545908,0.13479822745409198
2853,Rabbit-Proof Fence,16217411,6199600,10017811,2002.csv,2002,0.38228050087649623,0.6177194991235038
2854,Caché (Hidden),16197824,3647381,12550443,2005.csv,2005,0.22517722133540902,0.774822778664591
2855,Just Visiting,16176732,4781539,11395193,2001.csv,2001,0.2955812706793931,0.7044187293206069
2856,Birthday Girl,16171098,5142576,11028522,2002.csv,2002,0.31801031692467635,0.6819896830753236
2857,Iris,16153953,5594617,10559336,2001.csv,2001,0.3463311426002044,0.6536688573997956
2858,Father There Is Only One 3,16112265,0,16112265,2022.csv,2022,0.0,1.0
2859,Legend No. 17,16096860,0,16096860,2021.csv,2021,0.0,1.0
2860,I Still Believe,16069730,9868521,6201209,2020.csv,2020,0.6141062108697533,0.38589378913024674
2861,To Be and to Have,16063920,777129,15286791,2002.csv,2002,0.04837729520565341,0.9516227047943466
2862,Doraemon: Nobita and the Robot Kingdom,16053687,0,16053687,2002.csv,2002,0.0,1.0
2863,What the #$*! Do We (K)now!?,15998178,10942306,5055872,2004.csv,2004,0.6839720123129022,0.3160279876870979
2864,Upon the Magic Roads,15990882,0,15990882,2021.csv,2021,0.0,1.0
2865,Radhe Shyam,15954804,1860000,14094804,2022.csv,2022,0.11657930739857413,0.8834206926014259
2866,Drowning Mona,15906764,15506764,400000,2000.csv,2000,0.974853464853065,0.025146535146934976
2867,Blacklight,15902207,9591094,6311113,2022.csv,2022,0.603129741676737,0.39687025832326295
2868,Public Enemy,15897574,0,15897574,2002.csv,2002,0.0,1.0
2869,Before Sunset,15849759,5820649,10029110,2004.csv,2004,0.3672389592800749,0.6327610407199251
2870,Highlander: Endgame,15843608,12811858,3031750,2000.csv,2000,0.8086452277789251,0.1913547722210749
2871,Lucky Luke and the Daltons,15823762,0,15823762,2004.csv,2004,0.0,1.0
2872,The Great Yokai War,15787492,0,15787492,2005.csv,2005,0.0,1.0
2873,Kiss Kiss Bang Bang,15785148,4243756,11541392,2005.csv,2005,0.26884486607284264,0.7311551339271574
2874,The Gospel,15778152,15778152,0,2005.csv,2005,1.0,0.0
2875,Lantana,15747450,4623189,11124261,2001.csv,2001,0.2935833420649058,0.7064166579350942
2876,Operation Mincemeat,15710164,0,15710164,2022.csv,2022,0.0,1.0
2877,Enigma 2001 Re-release,15705007,4301582,11403425,2001.csv,2001,0.27389876362360105,0.7261012363763989
2878,Maison de retraite,15567804,0,15567804,2022.csv,2022,0.0,1.0
2879,Facing Windows,15530077,543354,14986723,2003.csv,2003,0.03498720579427906,0.965012794205721
2880,Two Sons of Francisco,15508288,0,15508288,2005.csv,2005,0.0,1.0
2881,The Way Back,15480704,13590514,1890190,2020.csv,2020,0.8779002556989657,0.12209974430103437
2882,With a Friend Like Harry...,15472186,3830441,11641745,2001.csv,2001,0.24756947725421605,0.7524305227457839
2883,Bait,15471969,15325127,146842,2000.csv,2000,0.9905091588536663,0.009490841146333735
2884,Zelary,15461305,330033,15131272,2003.csv,2003,0.02134574022050532,0.9786542597794947
2885,The Night House,15437703,7100581,8337122,2021.csv,2021,0.45995061571012213,0.5400493842898778
2886,The Greatest Game Ever Played,15431177,15337393,93784,2005.csv,2005,0.9939224337845389,0.006077566215461076
2887,Padre no hay más que uno 2: La llegada de la suegra,15373181,0,15373181,2020.csv,2020,0.0,1.0
2888,Harry Potter and the Sorcerer's Stone 2021 Re-release,15372357,799342,14573015,2021.csv,2021,0.0519986622741067,0.9480013377258933
2889,Alex & Emma,15368897,14218698,1150199,2003.csv,2003,0.9251606019612207,0.07483939803877923
2890,Drive My Car,15312956,2352240,12960716,2021.csv,2021,0.15361109899355813,0.8463889010064418
2891,Minari,15312445,3110580,12201865,2021.csv,2021,0.20314064801538878,0.7968593519846112
2892,Brother,15250594,450594,14800000,2001.csv,2001,0.029545996700194106,0.9704540032998059
2893,Hey Arnold! The Movie,15249308,13728902,1520406,2002.csv,2002,0.9002967216610748,0.09970327833892528
2894,Bheemla Nayak,15243922,0,15243922,2022.csv,2022,0.0,1.0
2895,Something About Love,15204017,0,15204017,2021.csv,2021,0.0,1.0
2896,Broker,15153427,0,15153427,2022.csv,2022,0.0,1.0
2897,Transamerica,15151744,9015303,6136441,2005.csv,2005,0.5950010111047283,0.40499898889527175
2898,Surviving Christmas,15125687,11663156,3462531,2004.csv,2004,0.7710827283415292,0.22891727165847078
2899,The Dreamers,15121165,2532228,12588937,2003.csv,2003,0.1674624937959476,0.8325375062040524
2900,Boat Trip,15020293,8600126,6420167,2002.csv,2002,0.5725671263536604,0.42743287364633964
2901,Anita,15017470,556632,14460838,2021.csv,2021,0.03706563089521737,0.9629343691047826
2902,Oldboy,14980005,707481,14272524,2003.csv,2003,0.0472283553977452,0.9527716446022548
2903,Undisputed,14946150,12764657,2181493,2002.csv,2002,0.8540431482354988,0.14595685176450124
2904,"Murder, Take One",14915208,0,14915208,2005.csv,2005,0.0,1.0
2905,The Last Trapper,14905929,0,14905929,2004.csv,2004,0.0,1.0
2906,Battle Royale II,14899584,0,14899584,2003.csv,2003,0.0,1.0
2907,Crayon Shin-chan: Mononoke Ninja Chinpuden,14895696,0,14895696,2022.csv,2022,0.0,1.0
2908,Firestarter,14889250,9589250,5300000,2022.csv,2022,0.6440384841412429,0.3559615158587572
2909,The Wolf of Wall Street 2022 Re-release,14877539,0,14877539,2022.csv,2022,0.0,1.0
2910,Raise Your Voice,14867514,10411980,4455534,2004.csv,2004,0.7003174841469798,0.2996825158530202
2911,Josie and the Pussycats,14866015,14271015,595000,2001.csv,2001,0.9599758240523771,0.040024175947622816
2912,Supernova,14828081,14230455,597626,2000.csv,2000,0.9596963356215817,0.040303664378418216
2913,Soul Plane,14821824,14190750,631074,2004.csv,2004,0.9574226491962123,0.04257735080378771
2914,One Piece: Dead End Adventure,14817006,0,14817006,2003.csv,2003,0.0,1.0
2915,Possession,14815898,10113733,4702165,2002.csv,2002,0.6826270672219801,0.3173729327780199
2916,Out Cold,14782676,13906394,876282,2001.csv,2001,0.940722369887563,0.059277630112437016
2917,X,14779858,11765309,3014549,2022.csv,2022,0.7960366736946999,0.2039633263053001
2918,The Triplets of Belleville,14776760,7007149,7769611,2003.csv,2003,0.47420063667542817,0.5257993633245718
2919,Super-héros malgré lui,14770359,0,14770359,2022.csv,2022,0.0,1.0
2920,Most Beautiful Week in My Life,14765033,0,14765033,2005.csv,2005,0.0,1.0
2921,Bros,14697881,11628165,3069716,2022.csv,2022,0.7911456760331642,0.20885432396683576
2922,Iron Monkey,14694904,14694904,0,2001.csv,2001,1.0,0.0
2923,Together with You,14687167,1151941,13535226,2003.csv,2003,0.07843180376447002,0.92156819623553
2924,Samurai Commando Mission 1549,14648713,0,14648713,2005.csv,2005,0.0,1.0
2925,Half a Confession,14638660,0,14638660,2004.csv,2004,0.0,1.0
2926,Welcome to Mooseport,14615099,14470947,144152,2004.csv,2004,0.9901367756728846,0.009863224327115403
2927,Together,14572229,1034829,13537400,2001.csv,2001,0.07101377558642538,0.9289862244135746
2928,Hollywood Ending,14569744,4850753,9718991,2002.csv,2002,0.33293330342660793,0.6670666965733921
2929,Envy,14494036,13562325,931711,2004.csv,2004,0.9357176289613189,0.06428237103868101
2930,Malena,14493284,3448233,11045051,2000.csv,2000,0.23791937010273173,0.7620806298972683
2931,Triangle of Sadness,14454254,3958022,10496232,2022.csv,2022,0.2738309427798903,0.7261690572201097
2932,I Dreamed of Africa,14400327,6651522,7748805,2000.csv,2000,0.4619007610035522,0.5380992389964477
2933,The Tomorrow War,14400000,0,14400000,2021.csv,2021,0.0,1.0
2934,The Personal History of David Copperfield,14399270,1876298,12522972,2020.csv,2020,0.130305077965758,0.869694922034242
2935,How to Deal,14390329,14195227,195102,2003.csv,2003,0.986442144581962,0.013557855418038044
2936,And So the Baton Is Passed,14368469,0,14368469,2021.csv,2021,0.0,1.0
2937,Being Julia,14339171,7739049,6600122,2004.csv,2004,0.5397138370133113,0.4602861629866887
2938,Freddy Got Fingered,14333252,14254993,78259,2001.csv,2001,0.9945400387853364,0.005459961214663637
2939,Nightlife,14308789,0,14308789,2020.csv,2020,0.0,1.0
2940,Stealing Harvard,14277032,14036406,240626,2002.csv,2002,0.9831459367745341,0.01685406322546591
2941,Blood Rain,14270938,0,14270938,2005.csv,2005,0.0,1.0
2942,The Duke,14222161,1526970,12695191,2022.csv,2022,0.10736554030009926,0.8926344596999007
2943,Sarkaru Vaari Paata,14199018,0,14199018,2022.csv,2022,0.0,1.0
2944,Pawn,14193957,0,14193957,2020.csv,2020,0.0,1.0
2945,Proof,14189860,7535331,6654529,2005.csv,2005,0.5310363174830478,0.46896368251695225
